 DEPT ,GR ,SP ,CAL ,AC , CNL ,DEN,LLD, LLS ,POR,VSH,Sw,PERM,Sg
2564.39,125.817,41.615,21.959,225.82,25.96,2.592,36.032,35.459,0.03515151515151505,0.8272642857142857,1.0,5.3622508800551396e-05,0.0
2564.515,131.913,41.752,22.264,227.641,28.483,2.574,31.758,31.349,0.04606060606060611,0.8708071428571429,0.8614474344188442,0.00012064349923752062,0.015310409737
2564.64,138.895,41.87,22.577,227.994,31.067,2.53,27.439,27.165,0.0727272727272728,0.9206785714285715,0.586953315966209,0.00047490515810075164,0.3394940866311936
2564.765,143.634,42.172,22.817,233.7,33.848,2.456,23.878,23.705,0.11757575757575756,0.9545285714285713,0.3891958874476845,0.0020066347933300273,0.5706790216432245
2564.89,143.531,42.535,22.969,244.297,36.791,2.391,21.551,21.437,0.15696969696969693,0.9537928571428572,0.30685660009916355,0.004774879770737332,0.6541893782558149
2565.015,139.908,43.094,23.047,252.188,38.494,2.355,20.417,20.335,0.17878787878787875,0.9279142857142856,0.2767903634973729,0.00705552274779904,0.6640119741649646
2565.14,136.081,43.722,23.05,258.069,37.699,2.344,20.245,20.184,0.18545454545454548,0.9005785714285713,0.2679715136217683,0.007874580515902833,0.6510452136509589
2565.265,134.798,44.339,23.023,263.182,34.39,2.34,20.702,20.678,0.18787878787878792,0.8914142857142857,0.26157793106178195,0.008187441877881634,0.6502373070334562
2565.39,135.15,44.724,22.999,261.776,30.877,2.336,21.261,21.288,0.19030303030303033,0.8939285714285715,0.25482818122685197,0.008508482162027722,0.6592861044874337
2565.515,136.325,44.795,22.988,255.215,28.097,2.344,21.703,21.773,0.18545454545454548,0.9023214285714285,0.25881392241726703,0.007874580515902833,0.6616224412190966
2565.64,138.054,44.65,23.029,251.372,26.603,2.358,22.083,22.166,0.17696969696969686,0.9146714285714286,0.2688791080034525,0.006842451106995528,0.6608928919965475
2565.765,138.311,44.424,23.067,249.611,26.381,2.363,22.666,22.737,0.1739393939393939,0.9165071428571429,0.2700222846099125,0.006496939740567936,0.6610075552169273
2565.89,135.23,44.365,22.968,250.543,26.995,2.352,23.695,23.738,0.18060606060606063,0.8945,0.2543456566587665,0.007272972420528795,0.6592082827351728
2566.015,130.099,44.759,22.676,253.298,27.575,2.339,25.25,25.266,0.18848484848484845,0.8578499999999999,0.2360901489255547,0.008266931052524355,0.6485529722865664
2566.14,125.628,45.33,22.371,251.973,27.326,2.345,27.071,27.064,0.18484848484848468,0.8259142857142857,0.23249678811868812,0.007797630764674923,0.6255969781150781
2566.265,122.669,45.62,22.23,246.327,25.766,2.384,28.854,28.828,0.16121212121212122,0.8047785714285715,0.25821668184518176,0.005172590029808682,0.5780339501894503
2566.39,120.095,45.591,22.205,241.115,23.577,2.44,30.255,30.197,0.12727272727272726,0.7863928571428571,0.31941188591417113,0.0025451948316962078,0.4941673348650496
2566.515,117.909,45.245,22.142,236.031,21.727,2.489,31.219,31.094,0.0975757575757576,0.7707785714285714,0.41014136879338775,0.0011469402043425107,0.3830036571806383
2566.64,116.708,44.694,21.975,231.512,20.751,2.515,32.337,32.082,0.08181818181818169,0.7622,0.48060171316191047,0.0006761833208114168,0.3010546504744531
2566.765,115.801,44.151,21.79,229.597,20.443,2.531,34.79,34.347,0.07212121212121199,0.7557214285714285,0.5256477025909698,0.0004631311928934595,0.24769139264712536
2566.89,114.679,43.968,21.686,230.221,20.22,2.552,38.573,37.912,0.05939393939393932,0.7477071428571429,0.606179384021135,0.0002586672080805322,0.15651242550267452
2567.015,113.125,43.96,21.791,228.813,19.407,2.555,41.774,40.92,0.057575757575757426,0.7366071428571429,0.6008863104177583,0.0002356318344482799,0.15088587572942783
2567.14,110.909,43.888,22.106,222.891,18.003,2.533,42.191,41.241,0.07090909090909091,0.7207785714285715,0.48548204775245973,0.0004401702980215376,0.2550958613384494
2567.265,108.041,43.835,22.51,219.421,16.965,2.525,39.377,38.473,0.07575757575757576,0.7002928571428572,0.47036784006764987,0.0005367761209001899,0.25263010365529387
2567.39,106.326,43.885,22.776,222.958,17.871,2.511,34.706,33.98,0.08424242424242412,0.6880428571428571,0.45055920300750824,0.0007380869883063504,0.26376368010937473
2567.515,107.394,44.101,22.854,230.432,21.074,2.459,30.242,29.72,0.11575757575757567,0.6956714285714286,0.3512613164245955,0.001914975624352214,0.3796384498091708
2567.64,110.468,44.462,22.907,238.913,26.208,2.414,27.007,26.649,0.1430303030303029,0.7176285714285715,0.3008283565997321,0.003612427646873101,0.45718788582451036
2567.765,112.253,44.93,23.149,245.723,30.973,2.375,25.31,25.057,0.16666666666666663,0.7303785714285714,0.2666798363664879,0.005715592135345218,0.5086356398239882
2567.89,111.413,45.379,23.465,249.186,33.093,2.335,24.446,24.277,0.1909090909090909,0.7243785714285714,0.23689423331579576,0.008590032556974702,0.5401029744764121
2568.015,108.787,45.65,23.564,249.302,32.847,2.297,23.603,23.502,0.21393939393939382,0.7056214285714286,0.21513478547066836,0.012088913348703144,0.5534658162609334
2568.14,106.789,45.731,23.397,248.607,32.271,2.262,22.387,22.317,0.2351515151515151,0.69135,0.20097371992186983,0.01605307834664022,0.5629557952296453
2568.265,106.462,45.719,23.162,249.195,32.089,2.243,21.145,21.06,0.2466666666666667,0.6890142857142857,0.1971381571355455,0.018528760859625064,0.5685859381025498
2568.39,107.162,45.561,22.99,253.368,31.91,2.244,20.52,20.383,0.2460606060606059,0.6940142857142858,0.20061076525092428,0.01839252051858925,0.5686945507663917
2568.515,107.921,45.266,22.828,258.444,31.37,2.271,20.737,20.535,0.2296969696969697,0.6994357142857144,0.21377492984279134,0.014961694350573037,0.5546994900706287
2568.64,108.794,44.975,22.63,260.519,30.712,2.33,21.742,21.459,0.19393939393939386,0.7056714285714285,0.24726874372224233,0.009005608923984587,0.515484589611091
2568.765,110.344,44.692,22.438,258.212,29.767,2.407,23.704,23.312,0.14727272727272722,0.7167428571428571,0.3118543839094203,0.003943501126972197,0.44660452518148874
2568.89,111.644,44.397,22.303,254.426,27.921,2.476,26.456,25.938,0.10545454545454543,0.7260285714285715,0.41224709801994897,0.0014478077376148988,0.34267300587615496
2569.015,111.032,43.996,22.244,247.071,25.166,2.519,29.469,28.829,0.07939393939393927,0.7216571428571429,0.5188178998301273,0.000617841442002239,0.22493797895775147
2569.14,108.427,43.645,22.282,234.09,22.555,2.549,31.939,31.196,0.061212121212121204,0.7030500000000001,0.6463785193570593,0.0002831569787594681,0.07484842003688019
2569.265,106.002,43.294,22.359,225.032,20.973,2.567,33.774,32.938,0.05030303030303015,0.6857285714285714,0.7648910944132223,0.00015714386321467085,0.0
2569.39,105.223,42.792,22.432,223.118,20.659,2.58,35.082,34.168,0.04242424242424233,0.6801642857142857,0.889874443308238,9.426647524800711e-05,0.0
2569.515,107.185,42.15,22.512,226.107,21.837,2.578,35.915,34.934,0.043636363636363674,0.6941785714285714,0.8550637882723323,0.00010257951414976234,0.0
2569.64,111.992,41.505,22.536,232.528,24.224,2.59,36.398,35.341,0.0363636363636364,0.7285142857142858,1.0,5.9363144762593955e-05,0.0
2569.765,119.103,40.917,22.385,240.881,27.129,2.606,36.884,35.731,0.026666666666666693,0.7793071428571429,1.0,2.3411065386374094e-05,0.0
2569.89,126.322,40.42,22.091,246.981,29.012,2.626,37.633,36.391,0.01454545454545456,0.8308714285714286,1.0,3.799241264806014e-06,0.0
2570.015,131.792,40.052,21.807,248.064,29.081,2.649,38.484,37.19,0.0006060606060605394,0.8699428571428571,1.0,2.748293739008065e-10,0.0
2570.14,134.342,39.796,21.652,245.108,27.806,2.667,39.162,37.866,0.0,0.888157142857143,1.0,0.0,0.0
2570.265,135.291,39.52,21.574,241.743,26.453,2.674,39.58,38.323,0.0,0.8949357142857143,1.0,0.0,0.0
2570.39,135.39,39.161,21.523,239.116,25.464,2.672,39.657,38.472,0.0,0.8956428571428571,1.0,0.0,0.0
2570.515,135.035,38.662,21.519,237.771,25.248,2.668,39.227,38.138,0.0,0.8931071428571429,1.0,0.0,0.0
2570.64,135.203,38.012,21.621,237.876,25.549,2.668,38.383,37.4,0.0,0.8943071428571429,1.0,0.0,0.0
